127.0.0.1 - - [14/Oct/2023:12:31:04 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:31:05 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:31:19 +0530] "POST /ResturantManagement/CustomerLogin.jsf;jsessionid=E69464972FA3F9FCCAF1E70B482562F7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:31:19 +0530] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4838
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:31:19 +0530] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:31:42 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:31:44 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:32:27 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:32:28 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:33:53 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:33:53 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:27 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:27 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:45 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:45 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:49 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:49 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:57 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:35:57 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:36:25 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:36:25 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:36:29 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:36:29 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:37:24 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:37:24 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:37:38 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:37:38 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:37:54 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:37:54 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:38:11 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:38:11 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:42:28 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:42:29 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:42:40 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:42:41 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:43:10 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:43:10 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:44:41 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:44:41 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 2431
